Year,Wins,Losses,WP,Payroll,1 Year Delta,% Change
2001,66,96,0.4074074074074074,48524167,-11701000,-19.4
2002,55,106,0.3416149068322981,54640500,6116333,12.6
2003,43,119,0.2654320987654321,55968000,1327500,2.4
2004,72,90,0.4444444444444444,61141000,5173000,9.2
2005,71,91,0.4382716049382716,67868500,6727500,11.0
2006,95,67,0.5864197530864198,85198456,17329956,25.5
2007,88,74,0.5432098765432098,97708500,12510044,14.7
2008,74,88,0.4567901234567901,138175833,40467333,41.4
2009,86,77,0.5276073619631901,116053000,-22122833,-16.0
2010,81,81,0.5,134062066,18009066,15.5
2011,95,67,0.5864197530864198,107019667,-27042399,-20.2
2012,88,74,0.5432098765432098,133060667,26041000,24.3
2013,93,69,0.5740740740740741,148314500,15253833,11.5
2014,90,72,0.5555555555555556,163635500,15321000,10.3
2015,74,87,0.45962732919254656,172792250,9156750,5.6
2016,86,75,0.5341614906832298,198593000,25800750,14.9
2017,64,98,0.3950617283950617,199750600,1157600,0.6
2018,64,98,0.3950617283950617,125286000,-74464600,-37.3
2019,47,114,0.2919254658385093,115673500,-9612500,-7.7
